2016-06-17_05:53:15 1466135595 0x5; 86 rTX 0
2016-06-17_05:53:15 1466135595 0x5; 86 rTX 1
2016-06-17_05:53:15 1466135595 0x5; 86 rTX 2
2016-06-17_05:53:15 1466135595 0x5; 86 rTX 3
2016-06-17_05:53:15 1466135595 0x5; 86 rTX 4
2016-06-17_05:53:16 1466135596 0x5; 86 rTX 5
2016-06-17_05:53:16 1466135596 0x5; 86 rTX 6
2016-06-17_05:53:17 1466135597 0x5; 86 rTX 7
2016-06-17_05:53:18 1466135598 0x5; 86 rTX 8
2016-06-17_05:53:20 1466135600 0x5; 86 rTX 9
2016-06-17_05:53:25 1466135605 0x5; 86 rTX 10
2016-06-17_05:53:33 1466135613 0x5; 86 rTXERR
2016-06-17_05:55:15 1466135715 0x5; 87 rTX 0
2016-06-17_05:55:15 1466135715 0x5; 87 rTX 1
2016-06-17_05:55:15 1466135715 0x5; 87 rTX 2
2016-06-17_05:55:15 1466135715 0x5; 87 rTX 3
2016-06-17_05:55:15 1466135715 0x5; 87 rTX 4
2016-06-17_05:55:16 1466135716 0x5; 87 rTX 5
2016-06-17_05:55:16 1466135716 0x5; 87 rTX 6
2016-06-17_05:55:17 1466135717 0x5; 87 rTX 7
2016-06-17_05:55:19 1466135719 0x5; 87 rTX 8
2016-06-17_05:55:22 1466135722 0x5; 87 rTX 9
2016-06-17_05:55:28 1466135728 0x5; 87 rTX 10
2016-06-17_05:55:43 1466135743 0x5; 87 rTXERR
2016-06-17_05:57:15 1466135835 0x5; 88 rTX 0
2016-06-17_05:57:15 1466135835 0x5; 88 rTX 1
2016-06-17_05:57:15 1466135835 0x5; 88 rTX 2
2016-06-17_05:57:15 1466135835 0x5; 88 rTX 3
2016-06-17_05:57:16 1466135836 0x5; 88 rTX 4
2016-06-17_05:57:16 1466135836 0x5; 88 rTX 5
2016-06-17_05:57:16 1466135836 0x5; 88 rTX 6
2016-06-17_05:57:17 1466135837 0x5; 88 rTX 7
2016-06-17_05:57:18 1466135838 0x5; 88 rTX 8
2016-06-17_05:57:20 1466135840 0x5; 88 rTX 9
2016-06-17_05:57:25 1466135845 0x5; 88 rTX 10
2016-06-17_05:57:39 1466135859 0x5; 88 rTXERR
2016-06-17_05:59:15 1466135955 0x5; 89 rTX 0
2016-06-17_05:59:15 1466135955 0x5; 89 rTX 1
2016-06-17_05:59:15 1466135955 0x5; 89 rTX 2
2016-06-17_05:59:15 1466135955 0x5; 89 rTX 3
2016-06-17_05:59:16 1466135956 0x5; 89 rTX 4
2016-06-17_05:59:16 1466135956 0x5; 89 rTX 5
2016-06-17_05:59:16 1466135956 0x5; 89 rTX 6
2016-06-17_05:59:17 1466135957 0x5; 89 rTX 7
2016-06-17_05:59:19 1466135959 0x5; 89 rTX 8
2016-06-17_05:59:21 1466135961 0x5; 89 rTX 9
2016-06-17_05:59:27 1466135967 0x5; 89 rTX 10
2016-06-17_05:59:42 1466135982 0x5; 89 rTXERR
2016-06-17_06:01:15 1466136075 0x5; 90 rTX 0
2016-06-17_06:01:15 1466136075 0x5; 90 rTX 1
2016-06-17_06:01:15 1466136075 0x5; 90 rTX 2
2016-06-17_06:01:15 1466136075 0x5; 90 rTX 3
