2016-05-04_14:19:17 1462364357 0x7; 345 rTXERR
2016-05-04_14:19:19 1462364359 0x8; 345 rTXERR
2016-05-04_14:20:49 1462364449 0x3; 346 rTX 0
2016-05-04_14:20:49 1462364449 0x3; 346 rTX 1
2016-05-04_14:20:49 1462364449 0x3; 346 rTX 2
2016-05-04_14:20:49 1462364449 0x3; 346 rTX 3
2016-05-04_14:20:49 1462364449 0x3; 346 rTX 4
2016-05-04_14:20:49 1462364449 0x3; 346 rTX 5
2016-05-04_14:20:50 1462364450 0x3; 346 rTX 6
2016-05-04_14:20:50 1462364450 0x4; 346 rTX 0
2016-05-04_14:20:50 1462364450 0x4; 346 rTX 1
2016-05-04_14:20:50 1462364450 0x4; 346 rTX 2
2016-05-04_14:20:50 1462364450 0x4; 346 rTX 3
2016-05-04_14:20:50 1462364450 0x4; 346 rTX 4
2016-05-04_14:20:50 1462364450 0x4; 346 rTX 5
2016-05-04_14:20:50 1462364450 0x3; 346 rTX 7
2016-05-04_14:20:51 1462364451 0x4; 346 rTX 6
2016-05-04_14:20:51 1462364451 0x4; 346 rTX 7
2016-05-04_14:20:52 1462364452 0x3; 346 rTX 8
2016-05-04_14:20:53 1462364453 0x4; 346 rTX 8
2016-05-04_14:20:53 1462364453 0x7; 346 rTX 0
2016-05-04_14:20:53 1462364453 0x7; 346 rTX 1
2016-05-04_14:20:53 1462364453 0x7; 346 rTX 2
2016-05-04_14:20:53 1462364453 0x7; 346 rTX 3
2016-05-04_14:20:53 1462364453 0x7; 346 rTX 4
2016-05-04_14:20:53 1462364453 0x7; 346 rTX 5
2016-05-04_14:20:54 1462364454 0x7; 346 rTX 6
2016-05-04_14:20:54 1462364454 0x8; 346 rTX 0
2016-05-04_14:20:54 1462364454 0x8; 346 rTX 1
2016-05-04_14:20:54 1462364454 0x8; 346 rTX 2
2016-05-04_14:20:54 1462364454 0x8; 346 rTX 3
2016-05-04_14:20:54 1462364454 0x8; 346 rTX 4
2016-05-04_14:20:54 1462364454 0x8; 346 rTX 5
2016-05-04_14:20:54 1462364454 0x7; 346 rTX 7
2016-05-04_14:20:54 1462364454 0x3; 346 rTX 9
2016-05-04_14:20:54 1462364454 0x8; 346 rTX 6
2016-05-04_14:20:55 1462364455 0x8; 346 rTX 7
2016-05-04_14:20:55 1462364455 0x4; 346 rTX 9
2016-05-04_14:20:55 1462364455 0x7; 346 rTX 8
2016-05-04_14:20:57 1462364457 0x8; 346 rTX 8
2016-05-04_14:20:59 1462364459 0x7; 346 rTX 9
2016-05-04_14:20:59 1462364459 0x3; 346 rTX 10
2016-05-04_14:20:59 1462364459 0x8; 346 rTX 9
2016-05-04_14:21:02 1462364462 0x4; 346 rTX 10
2016-05-04_14:21:04 1462364464 0x7; 346 rTX 10
2016-05-04_14:21:04 1462364464 0x8; 346 rTX 10
2016-05-04_14:21:10 1462364470 0x4; 346 rTXERR
2016-05-04_14:21:11 1462364471 0x3; 346 rTXERR
2016-05-04_14:21:14 1462364474 0x8; 346 rTXERR
2016-05-04_14:21:18 1462364478 0x7; 346 rTXERR
2016-05-04_14:22:49 1462364569 0x3; 347 rTX 0
2016-05-04_14:22:49 1462364569 0x3; 347 rTX 1
2016-05-04_14:22:49 1462364569 0x3; 347 rTX 2
2016-05-04_14:22:49 1462364569 0x3; 347 rTX 3
2016-05-04_14:22:49 1462364569 0x3; 347 rTX 4
2016-05-04_14:22:49 1462364569 0x3; 347 rTX 5
2016-05-04_14:22:50 1462364570 0x4; 347 rTX 0
2016-05-04_14:22:53 1462364573 0x7; 347 rTX 0
