2016-04-24_07:07:13 1461474433 0x6 274;315,312,314,314,30f,313,313,312,313,313,313,310,313,313,313,313,313,310,313,313,314,313,314,313,313-154f,4c2-1:f6/6c;0:f1/6c;0:0/0;0:0/0;0:20x6; 275 rTX 4
2016-04-24_07:15:12 1461474912 0x6 278;2ac,2ae,2ae,2ac,2aa,2ac,2a9,2a7,2a8,2a6,2a9,2a7,2a7,2a6,2ab,2a8,2a7,2a7,2aa,2a9,2a8,2aa,2ae,2ad,2ae-160b,4aa-1:f3/6c;0:f0/6b;0:0/0;0:0/0;0:20x6; 279 rTX 2
2016-04-24_07:19:13 1461475153 0x6 0; BOOT
2016-04-24_07:20:13 1461475213 0x6 0;403,402,400,400,401,403,402,/0;0:0/0;0:0/0;0:0/0;0:0/0;00x6; 1 rTX 1
2016-04-24_07:26:14 1461475574 0x6 283;3ad,3ab,3ae,3aa,3ab,3a7,3b2,1/6c;0:f0/6c;0:0/0;0:0/0;0:20x6; 284 rTX 1
2016-04-24_07:30:14 1461475814 0x6 285;3e8,3e7,3e8,3e7,3e8,3e8,3e9,3/6b;0:f1/6a;0:0/0;0:0/0;0:20x6; 286 rTX 5
2016-04-24_07:41:13 1461476473 0x6 291;12f,12d,12f,12d,12e,12f,12e,:f3/69;290:ef/6b;0:0/0;0:0/00x6; 292 rTX 7
2016-04-24_07:45:12 1461476712 0x6 293;c5,c4,c2,c9,c5,c2,c5,c5,c6,c5,c6,c8,c5,c4,c3,c4,c8,c5,c5,c4,c3,c3,c4,c6,c2-1674,46c-1:f3/6b;1:ef/6a;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;0:d0x6; 294 rTX 5
2016-04-24_08:36:12 1461479772 0x6 0;264,263,264,260,262,25d,261,260,262,264,261,261,261,262,264,25e,261,261,265,265,262,263,25d,25f,264-1536,4ee-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_08:38:13 1461479893 0x6 320;205,201,202,203,206,205,201,200,204,202,201,1fe,200,201,200,201,200,1fe,200,203,202,1fd,202,1fb,200-1584,4cd-0:f6/6c;0:f1/6b;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:d9/66;0:0/0
2016-04-24_08:40:12 1461480012 0x6 321;182,180,181,181,184,181,17f,181,182,181,184,184,181,180,181,181,181,180,181,183,181,17e,181,181,181-1591,4b8-0:f7/6b;0:f1/6b;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;0:d9/66;0:0/0
2016-04-24_08:42:12 1461480132 0x6 322;147,147,147,144,149,145,146,148,147,145,14b,147,147,147,147,146,147,147,146,146,143,147,147,145,147-1592,4b6-0:f7/6a;0:f1/6c;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;0:d9/6a;0:0/0
2016-04-24_08:44:12 1461480252 0x6 323;11e,11c,11c,11c,11d,11d,11c,11c,11f,11d,11d,119,11d,11d,11d,11c,119,11e,11b,11c,11c,11b,11c,11c,11b-1589,4b0-0:f7/6c;0:f1/6c;0:0/0;0:0/0;0:3/6c;0:0/0;0:0/0;0:0/0;0:d8/68;0:0/0
2016-04-24_08:48:13 1461480493 0x6 324;119,119,119,118,119,118,119,7/6c;0:f1/6b;0:0/0;0:0/0;0:20x6 325;145,145,144,144,144,143,145,143,145,144,144,142,145,143,145,144,143,144,144,144,145,144,144,143,144-1556,4b2-0:f7/6a;0:f1/6a;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;0:d8/67;0:0/0
