2016-06-05_09:44:44 1465112684 0xB, A 199 1131.92 1108.50-0.14
2016-06-05_09:46:43 1465112803 0xB, 9 200 1158.59 1111.00-0.29
2016-06-05_09:46:44 1465112804 0xB, A 200 1132.43 1110.90-0.13
2016-06-05_09:48:44 1465112924 0xB, A 201 1134.52 1114.03-0.12
2016-06-05_09:50:44 1465113044 0xB, A 202 1134.00 1113.37-0.12
2016-06-05_09:52:44 1465113164 0xB, A 203 1128.56 1107.87-0.13
2016-06-05_09:54:43 1465113283 0xB, 9 204 1151.64 1104.52-0.29
2016-06-05_09:54:44 1465113284 0xB, A 204 1123.92 1104.44-0.12
2016-06-05_09:56:44 1465113404 0xB, A 205 1120.92 1101.72-0.12
2016-06-05_09:58:44 1465113524 0xB, A 206 1123.19 1103.87-0.12
2016-06-05_10:00:44 1465113644 0xB, A 207 1122.04 1101.78-0.12
2016-06-05_10:02:44 1465113764 0xB, A 208 1121.68 1102.44-0.12
2016-06-05_10:04:43 1465113883 0xB, 9 207 1151.83 1100.88-0.32
2016-06-05_10:04:44 1465113884 0xB, A 209 1122.76 1100.62-0.14
2016-06-05_10:06:43 1465114003 0xB, 9 208 1152.88 1100.23-0.33
2016-06-05_10:06:44 1465114004 0xB, A 210 1122.00 1100.50-0.13
2016-06-05_10:08:43 1465114123 0xB, 9 209 1156.28 1102.04-0.34
2016-06-05_10:08:44 1465114124 0xB, A 211 1123.31 1101.90-0.13
2016-06-05_10:10:44 1465114244 0xB, A 212 1129.11 1107.31-0.13
2016-06-05_10:12:43 1465114363 0xB, 9 211 1156.35 1109.00-0.29
2016-06-05_10:12:44 1465114364 0xB, A 213 1130.43 1109.19-0.13
2016-06-05_10:14:44 1465114484 0xB, A 214 1131.04 1110.47-0.12
2016-06-05_10:16:44 1465114604 0xB, A 215 1132.16 1112.34-0.12
2016-06-05_10:18:44 1465114724 0xB, A 216 1132.83 1112.72-0.12
2016-06-05_10:20:43 1465114843 0xB, 9 215 1152.76 1112.23-0.25
2016-06-05_10:20:44 1465114844 0xB, A 217 1131.04 1112.06-0.11
2016-06-05_10:22:44 1465114964 0xB, A 218 1131.23 1112.62-0.11
2016-06-05_10:24:44 1465115084 0xB, A 219 1129.43 1111.81-0.11
2016-06-05_10:26:43 1465115203 0xB, 9 218 1152.40 1109.40-0.26
2016-06-05_10:26:44 1465115204 0xB, A 220 1127.31 1109.37-0.11
2016-06-05_10:28:44 1465115324 0xB, A 221 1124.64 1107.28-0.11
2016-06-05_10:30:43 1465115443 0xB, 9 220 1149.40 1105.04-0.27
2016-06-05_10:30:44 1465115444 0xB, A 222 1121.52 1105.03-0.10
2016-06-05_11:02:44 1465117364 0xB, A 238 1124.83 1113.78-0.06
2016-06-05_11:30:44 1465119044 0xB, A 252 1097.83 1093.75-0.02
2016-06-05_11:32:43 1465119163 0xB, 9 251 1149.04 1100.04-0.30
2016-06-05_11:32:44 1465119164 0xB, A 253 1104.64 1100.22-0.02
2016-06-05_11:34:43 1465119283 0xB, 9 252 1150.35 1105.28-0.28
2016-06-05_11:34:44 1465119284 0xB, A 254 1109.56 1104.53-0.03
2016-06-05_11:36:44 1465119404 0xB, A 255 1111.28 1107.19-0.02
2016-06-05_11:38:44 1465119524 0xB, A 256 1109.28 1104.81-0.02
2016-06-05_11:40:44 1465119644 0xB, A 257 1106.40 1102.37-0.02
2016-06-05_11:42:44 1465119764 0xB, A 258 1105.64 1102.00-0.02
2016-06-05_11:44:44 1465119884 0xB, A 259 1102.07 1100.15-0.01
2016-06-05_11:46:44 1465120004 0xB, A 260 1098.04 1097.31-0.00
2016-06-05_11:48:44 1465120124 0xB, A 261 1092.11 1091.59-0.00
2016-06-05_11:50:43 1465120243 0xB, 9 260 1144.35 1090.11-0.34
2016-06-05_11:50:44 1465120244 0xB, A 262 1088.71 1089.44 0.00
2016-06-05_11:52:43 1465120363 0xB, 9 261 1139.23 1091.31-0.30
2016-06-05_11:52:44 1465120364 0xB, A 263 1090.00 1091.19 0.00
2016-06-05_11:54:44 1465120484 0xB, A 264 1089.80 1092.31 0.01
2016-06-05_11:56:44 1465120604 0xB, A 265 1090.92 1092.62 0.01
