2016-05-08_07:13:03 1462684383 0xB, A 134 585.55 525.26-0.76
2016-05-08_07:13:36 1462684416 0xB, 9 136 1127.68 521.79-5.45
2016-05-08_07:15:03 1462684503 0xB, A 135 586.23 528.26-0.73
2016-05-08_07:15:36 1462684536 0xB, 9 137 1134.07 530.40-5.38
2016-05-08_07:17:03 1462684623 0xB, A 136 604.71 540.07-0.80
2016-05-08_07:17:36 1462684656 0xB, 9 138 1140.16 553.91-5.11
2016-05-08_07:19:03 1462684743 0xB, A 137 660.40 583.07-0.88
2016-05-08_07:19:36 1462684776 0xB, 9 139 1146.31 584.67-4.76
2016-05-08_07:21:03 1462684863 0xB, A 138 619.59 560.18-0.71
2016-05-08_07:21:36 1462684896 0xB, 9 140 1152.31 553.00-5.19
2016-05-08_07:23:03 1462684983 0xB, A 139 613.64 555.07-0.71
2016-05-08_07:23:36 1462685016 0xB, 9 141 1155.43 556.00-5.17
2016-05-08_07:25:03 1462685103 0xB, A 140 622.35 561.72-0.72
2016-05-08_07:25:36 1462685136 0xB, 9 142 1160.11 564.20-5.10
2016-05-08_07:27:03 1462685223 0xB, A 141 633.11 570.39-0.73
2016-05-08_07:27:36 1462685256 0xB, 9 143 1162.31 572.76-5.01
2016-05-08_07:29:03 1462685343 0xB, A 142 646.40 578.54-0.78
2016-05-08_07:29:36 1462685376 0xB, 9 144 1163.71 581.91-4.90
2016-05-08_07:31:03 1462685463 0xB, A 143 699.64 610.47-0.96
2016-05-08_07:31:36 1462685496 0xB, 9 145 1165.52 612.20-4.55
2016-05-08_07:33:03 1462685583 0xB, A 144 717.32 630.82-0.90
2016-05-08_07:33:36 1462685616 0xB, 9 146 1168.00 650.28-4.14
2016-05-08_07:35:03 1462685703 0xB, A 145 680.96 604.18-0.84
2016-05-08_07:35:36 1462685736 0xB, 9 147 1171.07 605.40-4.67
2016-05-08_07:37:03 1462685823 0xB, A 146 668.03 604.18-0.71
2016-05-08_07:37:36 1462685856 0xB, 9 148 1175.47 605.55-4.69
2016-05-08_07:39:03 1462685943 0xB, A 147 675.55 610.39-0.71
2016-05-08_07:41:03 1462686063 0xB, A 148 680.44 616.26-0.70
2016-05-08_07:43:03 1462686183 0xB, A 149 712.03 637.11-0.78
2016-05-08_07:43:43 1462686223 0xB, 9 150 1180.31 642.71-4.30
2016-05-08_07:45:03 1462686303 0xB, A 150 879.91 745.36-1.17
2016-05-08_07:45:43 1462686343 0xB, 9 151 1182.76 840.55-2.41
2016-05-08_07:47:03 1462686423 0xB, A 151 1159.04 1100.44-0.36
2016-05-08_07:47:43 1462686463 0xB, 9 152 1186.40 1127.04-0.36
2016-05-08_07:49:03 1462686543 0xB, A 152 1181.04 1125.65-0.34
2016-05-08_07:49:43 1462686583 0xB, 9 153 1189.47 1126.64-0.38
2016-05-08_07:51:03 1462686663 0xB, A 153 1178.92 1127.65-0.31
2016-05-08_07:51:43 1462686703 0xB, 9 154 1190.52 1126.95-0.38
2016-05-08_08:31:43 1462689103 0xB, 9 174 1214.00 1157.92-0.33
2016-05-08_08:33:43 1462689223 0xB, 9 175 1216.19 1160.43-0.33
2016-05-08_08:34:21 1462689261 0xB, A 174 1193.07 1161.50-0.18
2016-05-08_08:35:43 1462689343 0xB, 9 176 1216.43 1161.64-0.32
2016-05-08_08:36:21 1462689381 0xB, A 175 1193.19 1162.22-0.18
2016-05-08_08:37:43 1462689463 0xB, 9 177 1217.43 1162.92-0.32
2016-05-08_08:38:21 1462689501 0xB, A 176 1194.00 1163.19-0.18
2016-05-08_08:39:43 1462689583 0xB, 9 178 1217.59 1164.47-0.31
2016-05-08_08:40:21 1462689621 0xB, A 177 1194.43 1164.94-0.17
2016-05-08_08:41:43 1462689703 0xB, 9 179 1217.11 1165.35-0.30
2016-05-08_08:42:21 1462689741 0xB, A 178 1194.35 1165.59-0.17
2016-05-08_08:43:43 1462689823 0xB, 9 180 1217.07 1166.56-0.30
2016-05-08_08:44:21 1462689861 0xB, A 179 1195.52 1167.19-0.16
2016-05-08_08:45:43 1462689943 0xB, 9 181 1218.56 1167.95-0.30
2016-05-08_08:46:21 1462689981 0xB, A 180 1196.40 1168.87-0.16
2016-05-08_08:47:43 1462690063 0xB, 9 182 1219.28 1169.28-0.29
2016-05-08_08:48:21 1462690101 0xB, A 181 1196.31 1169.44-0.16
2016-05-08_08:49:43 1462690183 0xB, 9 183 1218.23 1170.04-0.28
2016-05-08_08:50:21 1462690221 0xB, A 182 1195.80 1169.00-0.16
2016-05-08_08:51:43 1462690303 0xB, 9 184 1216.19 1168.71-0.28
2016-05-08_08:52:21 1462690341 0xB, A 183 1195.07 1168.90-0.15
2016-05-08_08:53:43 1462690423 0xB, 9 185 1215.43 1168.80-0.27
2016-05-08_08:54:21 1462690461 0xB, A 184 1195.16 1169.15-0.15
2016-05-08_08:55:43 1462690543 0xB, 9 186 1215.88 1170.35-0.27
2016-05-08_08:56:21 1462690581 0xB, A 185 1195.52 1171.28-0.14
2016-05-08_08:57:43 1462690663 0xB, 9 187 1216.71 1172.11-0.26
2016-05-08_08:58:21 1462690701 0xB, A 186 1196.28 1171.78-0.14
2016-05-08_08:59:43 1462690783 0xB, 9 188 1217.28 1173.47-0.25
