2016-04-13_20:16:50 1460571410 0x9 59;5,c,b,b,b,b,6,11,f,b,c,b,d,c,b,a,b,b,d,a,10,10,b,b,b-1587,a7d-0:da/6b;0:df/6b;0:0/0;0:0/0;0:d7/69;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:18:50 1460571530 0x9 60;8,e,9,9,9,8,8,a,a,9,a,9,a,a,a,a,f,a,a,9,f,9,a,9,a-1585,a79-0:da/6b;0:df/6b;0:0/0;0:0/0;0:d8/6a;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:20:50 1460571650 0x9 61;8,8,9,7,8,9,9,9,8,8,8,9,8,8,9,8,8,9,8,7,7,8,8,8,8-1584,a77-0:da/6c;0:df/6b;0:0/0;0:0/0;0:d7/67;0:de/6b;0:0/0;0:0/0;0:0/0;0:da/6a
2016-04-13_20:22:50 1460571770 0x9 62;7,6,7,7,6,7,4,7,7,9,3,7,6,8,5,b,8,4,6,7,b,8,6,4,6-1582,a74-0:da/69;0:df/6b;0:0/0;0:0/0;0:d8/67;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_20:24:50 1460571890 0x9 63;6,5,5,d,0,6,5,6,6,6,8,6,5,6,6,6,6,5,6,4,6,4,3,6,4-1580,a71-0:da/6a;0:df/6b;0:0/0;0:0/0;0:d8/69;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/68
2016-04-13_20:26:50 1460572010 0x9 64;8,6,5,7,5,4,4,6,5,5,4,5,5,8,4,6,5,5,3,6,4,3,5,5,4-157e,a6e-0:da/6a;0:df/6a;0:0/0;0:0/0;0:d7/68;0:dd/6a;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:28:50 1460572130 0x9 65;4,4,8,4,3,3,7,4,5,4,3,4,4,5,4,1,6,6,5,5,4,3,3,4,4-157e,a6d-0:da/6b;0:df/69;0:0/0;0:0/0;0:d7/63;0:dd/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:30:50 1460572250 0x9 66;3,4,0,3,4,6,6,4,3,4,5,4,4,4,4,3,5,3,3,5,3,3,4,2,4-157a,a69-0:da/6a;0:df/6b;0:0/0;0:0/0;0:d8/68;0:dd/6c;0:0/0;0:0/0;0:0/0;0:db/69
2016-04-13_20:32:50 1460572370 0x9 67;3,4,4,3,4,6,3,7,7,3,3,2,3,4,4,4,3,0,5,5,1,4,0,3,3-1578,a66-0:da/6a;0:df/69;0:0/0;0:0/0;0:d8/67;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_20:34:50 1460572490 0x9 68;3,1,3,3,3,5,4,1,3,3,6,2,4,0,3,3,2,3,3,5,2,0,6,6,3-1574,a62-0:da/6b;0:df/6a;0:0/0;0:0/0;0:d8/66;0:dd/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:36:50 1460572610 0x9 69;1,0,3,3,0,3,7,3,1,3,c,4,3,3,0,5,3,3,3,3,3,0,2,3,3-1570,a5f-0:da/69;0:df/6b;0:0/0;0:0/0;0:d8/6b;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/69
2016-04-13_20:38:50 1460572730 0x9 70;6,2,1,2,3,2,3,0,3,6,2,2,3,1,2,1,7,5,6,6,3,3,2,3,0-156b,a5c-0:da/6c;0:df/6b;0:0/0;0:0/0;0:d7/6a;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:40:50 1460572850 0x9 71;a,3,1,2,3,0,2,2,0,1,6,2,2,3,1,3,6,1,2,2,2,3,3,2,3-156a,a5a-0:da/6a;0:df/6a;0:0/0;0:0/0;0:d7/6a;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6a
