2016-04-23_04:44:21 1461379461 0x9, 5 61 2.16 2.07-0.26
2016-04-23_04:44:22 1461379462 0x9, 6 61 2.20 2.31 0.37
2016-04-23_04:44:58 1461379498 0x9, A 60 1.76 2.31 1.95
2016-04-23_04:46:17 1461379577 0x9, 1 62 1.64 2.44 2.81
2016-04-23_04:46:18 1461379578 0x9, 2 62 1.76 2.24 1.70
2016-04-23_04:46:21 1461379581 0x9, 5 62 2.20 2.27 0.25
2016-04-23_04:46:22 1461379582 0x9, 6 62 1.79 2.00 0.74
2016-04-23_04:46:58 1461379618 0x9, A 61 2.00 2.51 1.63
2016-04-23_04:48:17 1461379697 0x9, 1 63 1.55 2.40 3.05
2016-04-23_04:48:18 1461379698 0x9, 2 63 1.32 3.03 5.90
2016-04-23_04:48:21 1461379701 0x9, 5 63 1.84 2.35 1.76
2016-04-23_04:48:22 1461379702 0x9, 6 63 1.79 2.03 0.88
2016-04-23_04:48:58 1461379738 0x9, A 62 2.44 3.35 2.26
2016-04-23_04:50:17 1461379817 0x9, 1 64 1.52 1.91 1.65
2016-04-23_04:50:18 1461379818 0x9, 2 64 1.76 1.76 0.00
2016-04-23_04:50:21 1461379821 0x9, 5 64 2.11 2.68 1.65
2016-04-23_04:50:22 1461379822 0x9, 6 64 2.07 2.40 1.01
2016-04-23_04:50:58 1461379858 0x9, A 63 1.32 2.27 3.87
2016-04-23_04:52:17 1461379937 0x9, 1 65 1.76 1.88 0.46
2016-04-23_04:52:18 1461379938 0x9, 2 65 1.48 1.91 1.84
2016-04-23_04:52:21 1461379941 0x9, 5 65 2.79 2.72-0.20
2016-04-23_04:52:22 1461379942 0x9, 6 65 1.96 2.20 0.81
2016-04-23_04:52:58 1461379978 0x9, A 64 1.15 2.39 5.14
2016-04-23_04:54:17 1461380057 0x9, 1 66 2.11 2.55 1.33
2016-04-23_04:54:18 1461380058 0x9, 2 66 1.27 2.35 4.33
2016-04-23_04:54:21 1461380061 0x9, 5 66 1.39 1.96 2.38
2016-04-23_04:54:22 1461380062 0x9, 6 66 1.88 2.00 0.43
