2016-05-24_05:17:32 1464059852 0x1 77;3,3,3,3,2,2,2,3,3,1,3,3,2,3,3,2,8,2,5,3,3,3,3,3,3-16b0,a0d-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6b;1:ef/68;0:0/0;0:0/0;3:d3/4f;0:0/0
2016-05-24_05:19:32 1464059972 0x1 78;3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,3,3,3,3,3,3-16b2,a0f-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/6c;1:f0/68;0:0/0;0:0/0;4:d3/4f;0:0/0
2016-05-24_05:21:32 1464060092 0x1 79;4,2,3,1,3,3,2,2,3,3,3,3,3,3,3,3,3,4,3,2,4,3,3,3,4-16b5,a10-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6b;1:ef/6b;0:0/0;0:0/0;5:d3/4f;0:0/0
2016-05-24_05:23:32 1464060212 0x1 80;4,4,2,3,4,3,4,4,4,3,3,1,2,3,3,3,3,3,4,4,3,3,3,4,4-16b9,a10-0:0/0;1:0/6b;0:0/0;0:0/0;1:ed/6c;1:f0/6a;0:0/0;0:0/0;6:d3/4f;0:0/0
2016-05-24_05:25:32 1464060332 0x1 81;4,4,3,3,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,3,4,4,3,3,4-16b9,a09-0:0/0;1:0/6b;0:0/0;0:0/0;1:ed/6c;1:f0/6b;0:0/0;0:0/0;7:d3/4f;0:0/0
2016-05-24_05:27:32 1464060452 0x1 82;4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,2,3,4,4,3,4,4-16ba,a09-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:ef/6a;0:0/0;0:0/0;8:d3/4f;0:0/0
2016-05-24_05:29:32 1464060572 0x1 83;4,4,4,4,4,3,4,3,4,4,5,4,4,4,4,5,4,3,4,4,3,4,4,4,4-16b9,a05-0:0/0;1:0/6a;0:0/0;0:0/0;1:ed/6b;1:ef/6b;0:0/0;0:0/0;9:d3/4f;0:0/0
2016-05-24_05:31:32 1464060692 0x1 84;5,4,5,4,5,5,4,4,4,4,4,4,4,4,5,5,5,4,5,4,4,4,4,3,4-16b8,a01-0:0/0;1:0/6b;0:0/0;0:0/0;1:ed/6b;1:f1/6c;0:0/0;0:0/0;10:d3/4f;0:0/0
2016-05-24_05:33:31 1464060811 0x1 85;4,4,4,5,4,4,5,5,5,4,5,5,5,4,5,4,5,5,5,3,5,5,5,4,5-16b4,9fd-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:f1/6b;0:0/0;0:0/0;11:d3/4f;0:0/0
2016-05-24_05:35:32 1464060932 0x1 86;5,4,4,4,5,5,5,6,3,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5-16b3,a00-0:0/0;1:0/6c;0:0/0;0:0/0;1:ee/6c;1:f1/69;0:0/0;0:0/0;12:d3/4f;0:0/0
